[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:4e5130573902007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:4a4245555302007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:315648494502007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:43564a473202007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:555630574c02007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:3145564a4202007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:515859533402007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:334431515202007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:5a36334a4202007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:5a314d583002007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:485638474b02007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:304a41394e02007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:4d5530534f02007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:57524c473902007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:5a4f46423702007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:373552324b02007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:4d3955384102007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:445a30364302007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:544359515002007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:535750444802007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:434b4d534c02007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:5137584b4902007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:454434434e02007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:584146325402007230000108c00000d00200
[21/04/2023 15:43:00] R:02007230000108c00000d00200 | S:585633495902007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:414f4e444d02007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:314b44494902007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:365832584f02007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:363652304202007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:504259583902007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:5837554d3902007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:565038305202007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:563236344f02007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:56495a355a02007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:374b32474c02007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:515832464d02007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:56564b4c5502007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:4a494f573702007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:363954464b02007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:3038494a5402007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:39455a464e02007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:424856453802007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:4b5a45475702007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:544e52375602007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:574a4a525302007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:5953565a5a02007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:393731593902007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:385354424b02007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:41394f555102007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:444934364502007230000108c00000d00200
[21/04/2023 15:43:01] R:02007230000108c00000d00200 | S:334457434502007230000108c00000d00200
